Dataset	Domains	Int insec	Mix int sec	Int sec	Ext insec	Mix ext sec	Ext sec	All insec	Mix sec	All sec
se.healthstatus.2013.media-http-www	28	0.96	0.040000000000000036	0	0.14814814814814814	0.8518518518518519	0	0.17857142857142858	0.8214285714285714	0
se.healthstatus.2013.media-https	4	0.5	0.25	0.25	0	1	0	0	1	0
se.healthstatus.2013.media-https-www	5	0.4	0.4	0.2	0	1	0	0	1	0
se.healthstatus.2013.municipalities-http	249	0.9919678714859438	0	0.008032128514056224	0.497907949790795	0.4937238493723849	0.008368200836820083	0.5180722891566265	0.4738955823293173	0.008032128514056224
se.healthstatus.2013.municipalities-http-www	271	0.9888888888888889	0	0.011111111111111112	0.5193798449612403	0.46899224806201545	0.011627906976744186	0.5424354243542435	0.4464944649446495	0.01107011070110701
se.healthstatus.2013.municipalities-https	44	0.2727272727272727	0.20454545454545459	0.5227272727272727	0.2682926829268293	0.5609756097560975	0.17073170731707318	0.22727272727272727	0.5681818181818181	0.20454545454545456
se.healthstatus.2013.municipalities-https-www	54	0.25925925925925924	0.1296296296296296	0.6111111111111112	0.16	0.6	0.24	0.14814814814814814	0.6111111111111112	0.24074074074074073
se.healthstatus.2013.public-authorities-http	170	0.9673202614379085	0.013071895424836555	0.0196078431372549	0.6358024691358025	0.32098765432098764	0.043209876543209874	0.6529411764705882	0.32352941176470584	0.023529411764705882
se.healthstatus.2013.public-authorities-http-www	203	0.9725274725274725	0.005494505494505475	0.02197802197802198	0.648936170212766	0.31382978723404253	0.03723404255319149	0.6748768472906403	0.30541871921182273	0.019704433497536946
se.healthstatus.2013.public-authorities-https	18	0.3888888888888889	-5.551115123125783e-17	0.6111111111111112	0.3333333333333333	0.4000000000000001	0.26666666666666666	0.3333333333333333	0.3333333333333334	0.3333333333333333
se.healthstatus.2013.public-authorities-https-www	37	0.21621621621621623	0.1351351351351351	0.6486486486486487	0.1388888888888889	0.44444444444444436	0.4166666666666667	0.16216216216216217	0.5135135135135135	0.32432432432432434
